id,word,part_of_speech,phonetic,level,sources,tags,ko_first,ko_joined,en_definitions_joined,definitions_count,examples_joined,needs_korean_gloss
f930859e30994950,abandon,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_5 | dictionary | open_source | wordnet,"떠나다, 나락, 내맡기다, 단념하다, 버려두다","떠나다, 나락, 내맡기다, 단념하다, 버려두다",the trait of lacking restraint or control; reckless freedom from inhibition or worry || a feeling of extreme emotional intensity || stop maintaining or insisting on; of ideas or claims || leave someone who needs or counts on you; leave in the lurch || leave behind empty; move out of || give up with the intent of never claiming again,6,she danced with abandon || the wildness of his anger || He abandoned the thought of asking for her hand in marriage,0
8f53ed0fec22d328,abandoned,adjective,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_19 | dictionary | open_source | wordnet,"떠나다, 나락, 내맡기다, 단념하다, 버려두다","떠나다, 나락, 내맡기다, 단념하다, 버려두다",forsaken by owner or inhabitants || unrestrained and uninhibited; - Liam O'Flaherty,2,weed-grown yard of an abandoned farmhouse || an abandoned sadness born of grief,0
67e11ede1f94f021,abatement,noun,,AVL,AVL | Korean Wiktionary (ko.wiktionary.org) | WordNet,avl | band_21 | dictionary | open_source | wordnet,"감소, 경감, 감액, 감가","감소, 경감, 감액, 감가",the act of abating || an interruption in the intensity or amount of something,2,laws enforcing noise abatement,0
99842c84d57856e3,abdicate,verb,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_37 | dictionary | open_source | wordnet,"퇴관하다, 퇴위하다","퇴관하다, 퇴위하다","give up, such as power, as of monarchs and emperors, or duties and obligations",1,The King abdicated when he married a divorcee,0
75d46294912ae28f,abdomen,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_21 | dictionary | open_source | wordnet,"배, 단전, 복부","배, 단전, 복부",the region of the body of a vertebrate between the thorax and the pelvis || the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm,2,,0
d9cbb01091d118e5,abdominal,noun,,NAWL,AVL | Korean Wiktionary (ko.wiktionary.org) | NAWL | WordNet,avl | band_16 | dictionary | nawl | open_source | wordnet,"배의, 복부의","배의, 복부의",the muscles of the abdomen || of or relating to or near the abdomen,2,abdominal muscles,0
f5f6e4869768cc49,abductee,,,AVL,AVL | Korean Wiktionary (ko.wiktionary.org),avl | band_35 | needs_definition | open_source,납치된 또는 유괴된 사람,납치된 또는 유괴된 사람,Open-source vocabulary entry for IELTS offline study: abductee.,1,,0
eac554d95df311f0,abduction,noun,,AVL,AVL | Korean Wiktionary (ko.wiktionary.org) | WordNet,avl | band_21 | dictionary | open_source | wordnet,유괴,유괴,(physiology) moving of a body part away from the central axis of the body || the criminal act of capturing and carrying away by force a family member; if a man's wife is abducted it is a crime against the family relationship and against the wife,2,,0
bdbffddd83b19b27,aberrant,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_38 | dictionary | open_source | wordnet,탈선적인,탈선적인,one whose behavior departs substantially from the norm of a group || markedly different from an accepted norm,2,aberrant behavior || deviant ideas,0
3e16b1660f1e4d05,abiding,adjective,,AVL,AVL | Korean Wiktionary (ko.wiktionary.org) | WordNet,avl | band_30 | dictionary | open_source | wordnet,영구적인,영구적인,lasting a long time,1,an abiding belief || imperishable truths,0
083dbabef569d46b,ability,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_1 | dictionary | open_source | wordnet,"능, 부치다, 기능, 기량, 기술","능, 부치다, 기능, 기량, 기술",the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment || possession of the qualities (especially mental qualities) required to do something or get something done,2,danger heightened his powers of discrimination,0
52281095ad99b4db,abiotic,,,AVL,AVL | Kengdic | cc-kedict,avl | band_42 | needs_definition | open_source,"비생물적인, 생명에 관계없는","비생물적인, 생명에 관계없는",Open-source vocabulary entry for IELTS offline study: abiotic.,1,,0
3f7308c74bf51eb3,abnormal,adjective,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_12 | dictionary | open_source | wordnet,"이상, 비정상, 이상적, 변태의, 이상한","이상, 비정상, 이상적, 변태의, 이상한",much greater than the normal || not normal; not typical or usual or regular or conforming to a norm || departing from the normal in e.g. intelligence and development,3,abnormal profits || abnormal ambition || abnormal powers of concentration,0
5194d926dde85c33,abolish,verb,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_13 | dictionary | open_source | wordnet,철폐하다,철폐하다,do away with,1,Slavery was abolished in the mid-19th century in America and in Russia,0
3378c16d443b23ee,abolition,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_19 | dictionary | open_source | wordnet,"철폐, 페지, 폐지, 페지론자","철폐, 페지, 폐지, 페지론자",the act of abolishing a system or practice or institution (especially abolishing slavery),1,the abolition of capital punishment,0
07a47c951acae916,abortion,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_6 | dictionary | open_source | wordnet,"낙태, 조산, 기형물, 유산아, 불구 발육부전","낙태, 조산, 기형물, 유산아, 불구 발육부전",termination of pregnancy || failure of a plan,2,,0
1e0bd36e04a2b28c,abortive,adjective,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_42 | dictionary | open_source | wordnet,"유산의, 조산의","유산의, 조산의",failing to accomplish an intended result,1,an abortive revolt || a stillborn plot to assassinate the President,0
48add08a0c28f323,abrasion,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_37 | dictionary | open_source | wordnet,"얼, 마멸, 찰상, 벗겨짐, 찰과상","얼, 마멸, 찰상, 벗겨짐, 찰과상",the wearing down of rock particles by friction due to water or wind or ice || erosion by friction || an abraded area where the skin is torn or worn off,3,,0
98ac3902b4b12e3c,abrasive,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_35 | dictionary | open_source | wordnet,마찰 있는,마찰 있는,a substance that abrades or wears down || sharply disagreeable; rigorous || causing abrasion,3,the harsh facts of court delays || an abrasive character,0
64cb628629724ed5,abreast,adverb,,AVL,AVL | Korean Wiktionary (ko.wiktionary.org) | WordNet,avl | band_32 | dictionary | open_source | wordnet,나란히,나란히,"alongside each other, facing in the same direction",1,,0
f6ea495a2234bdfe,abrogate,verb,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_32 | dictionary | open_source | wordnet,파기하다,파기하다,revoke formally,1,,0
86e256b1abe4d9a5,abruptly,adverb,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_18 | dictionary | open_source | wordnet,"뚝, 멈칫, 버럭, 벌떡, 뜻밖에","뚝, 멈칫, 버럭, 벌떡, 뜻밖에",quickly and without warning,1,he stopped suddenly,0
5fb28d3b1dcd8b69,abscess,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_23 | dictionary | open_source | wordnet,"농양, 종기, 헌데","농양, 종기, 헌데",symptom consisting of a localized collection of pus surrounded by inflamed tissue,1,,0
d3f0314968db38c7,absence,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_4 | dictionary | open_source | wordnet,"결석, 결여, 결핍, 공핍, 방심","결석, 결여, 결핍, 공핍, 방심","failure to be present || the state of being absent || the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy || the time interval during which something or somebody is away",4,he was surprised by the absence of any explanation || he visited during my absence,0
21a9b92b2a3340b3,absentee,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_34 | dictionary | open_source | wordnet,"부재자, 부재지주, 부재지수제도, 부재투표자의","부재자, 부재지주, 부재지수제도, 부재투표자의",one that is absent or not in residence,1,,0
da4dbfbc4fdc5623,absolute,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_5 | dictionary | open_source | wordnet,"실증, 절대적, 무조건의, 독립 구문, 절대 고도","실증, 절대적, 무조건의, 독립 구문, 절대 고도",something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative || perfect or complete or pure || not capable of being violated or infringed || complete and without restriction or qualification; sometimes used informally as intensifiers || not limited by law || expressing finality with no implication of possible change,6,no mortal being can influence the absolute || absolute loyalty || absolute silence,0
f96bfd09a2dbbf63,absolve,verb,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_34 | dictionary | open_source | wordnet,"방면하다, 사면하다","방면하다, 사면하다",let off the hook || grant remission of a sin to,2,I absolve you from this responsibility || The priest absolved him and told him to say ten Hail Marys,0
846e2a86e5a9b6ea,absorb,verb,,NAWL,AVL | Kengdic | NAWL | WordNet | cc-kedict,avl | band_6 | dictionary | nawl | open_source | wordnet,"동화하다, 흡수하다, 에 흡수되다","동화하다, 흡수하다, 에 흡수되다","cause to become one with || consume all of one's attention or time || devote (oneself) fully to || take up mentally || assimilate or take in || take in, also metaphorically",6,The sales tax is absorbed into the state income tax || Her interest in butterflies absorbs her completely || He immersed himself into his studies,0
718d1bb99cabdecf,absorbed,adjective,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_39 | dictionary | open_source | wordnet,마음을 빼앗긴,마음을 빼앗긴,giving or marked by complete attention to; ; ; - Walter de la Mare || retained without reflection,2,that engrossed look or rapt delight || enwrapped in dreams || so intent on this fantastic...narrative that she hardly stirred,0
fcdf723c4142801d,absorber,noun,,AVL,AVL | WordNet,avl | band_36 | dictionary | needs_korean_gloss | open_source | wordnet,한국어 뜻 보강 필요,한국어 뜻 보강 필요,(physics) material in a nuclear reactor that absorbs radiation,1,,1
6e68c25f391b34c3,absorbing,adjective,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_33 | dictionary | open_source | wordnet,흡수하는,흡수하는,capable of arousing and holding the attention,1,a fascinating story,0
cd36b53dab39af5c,absorption,noun,,NAWL,AVL | Kengdic | NAWL | WordNet | cc-kedict,avl | band_11 | dictionary | nawl | open_source | wordnet,"몰두, 흡수, 흡수대, 흡인력, 흡수 스펙트럼","몰두, 흡수, 흡수대, 흡인력, 흡수 스펙트럼",the mental state of being preoccupied by something || complete attention; intense mental effort || (chemistry) a process in which one substance permeates another; a fluid permeates or is dissolved by a liquid or solid || (physics) the process in which incident radiated energy is retained without reflection or transmission on passing through a medium || the process of absorbing nutrients into the body after digestion || the social process of absorbing one cultural group into harmony with another,6,the absorption of photons by atoms or molecules,0
6dcb7d8083710cf0,abstain,verb,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_24 | dictionary | open_source | wordnet,"자제하다, 절제하다, 금주가","자제하다, 절제하다, 금주가",choose not to consume || refrain from voting,2,I abstain from alcohol,0
45d9f0d854497dde,abstinent,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_34 | dictionary | open_source | wordnet,"금욕적인, 금주하는","금욕적인, 금주하는",a person who refrains from drinking intoxicating beverages || self-restraining; not indulging an appetite especially for food or drink,2,not totally abstinent but abstemious,0
ec3ec33367ae7140,abstract,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_18 | band_22 | band_6 | dictionary | open_source | wordnet,"초록, 추상파, 추상명사, 추상적인, 방심한","초록, 추상파, 추상명사, 추상적인, 방심한",a concept or idea not associated with any specific instance || a sketchy summary of the main points of an argument or theory || consider a concept without thinking of a specific example; consider abstractly or theoretically || consider apart from a particular case or instance || give an abstract (of) || make off with belongings of others,6,he loved her only in the abstract--not in person || Let's abstract away from this particular example || abstract words like `truth' and `justice',0
f25e121aa4741862,absurdity,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_24 | dictionary | open_source | wordnet,"무리, 부조리, 엉터리없는 일","무리, 부조리, 엉터리없는 일",a ludicrous folly || a message whose content is at variance with reason,2,the crowd laughed at the absurdity of the clown's behavior,0
e5e3b73b4cfae281,abundance,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_7 | dictionary | open_source | wordnet,"부유, 윤택, 풍부","부유, 윤택, 풍부",the property of a more than adequate quantity or supply || (chemistry) the ratio of the total mass of an element in the earth's crust to the total mass of the earth's crust; expressed as a percentage or in parts per million || (physics) the ratio of the number of atoms of a specific isotope of an element to the total number of isotopes present,3,an age of abundance,0
0983c9d4b442bbe2,abundant,adjective,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_9 | dictionary | open_source | wordnet,"숱하다, 푸짐하다, 풍부하다, 풍성, 풍족하다","숱하다, 푸짐하다, 풍부하다, 풍성, 풍족하다",present in great quantity,1,an abundant supply of water,0
ff9359e8e722440a,abusive,adjective,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_16 | dictionary | open_source | wordnet,입 사나운,입 사나운,characterized by physical or psychological maltreatment || expressing offensive reproach,2,abusive punishment || argued...that foster homes are abusive,0
2259d7e74df53c66,academe,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_32 | dictionary | open_source | wordnet,"학구, 학자 생활, 학구적 생활","학구, 학자 생활, 학구적 생활",the academic world,1,,0
1d5879f5fcdfaecc,academia,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_17 | dictionary | open_source | wordnet,학자의 세계,학자의 세계,the academic world,1,,0
27bc2c56988f2689,academic,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_2 | band_9 | dictionary | open_source | wordnet,"과, 학위, 산학연, 산학연과, 학구적인","과, 학위, 산학연, 산학연과, 학구적인",an educator who works at a college or university || hypothetical or theoretical and not expected to produce an immediate or practical result || marked by a narrow focus on or display of learning especially its trivial aspects || associated with academia or an academy,4,an academic discussion || an academic question || the academic curriculum,0
cb2766cf39b9ee56,academy,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_6 | dictionary | open_source | wordnet,"학회, 아카데미, 아카데미상, 아카데미아, 판지캔버스","학회, 아카데미, 아카데미상, 아카데미아, 판지캔버스",a learned establishment for the advancement of knowledge || a school for special training || a secondary school (usually private) || an institution for the advancement of art or science or literature,4,,0
0b6adcfd9c7da513,accelerate,verb,,NAWL,AVL | Kengdic | NAWL | WordNet | cc-kedict,avl | band_9 | dictionary | nawl | open_source | wordnet,"빨라지다, 빨리하다","빨라지다, 빨리하다",move faster || cause to move faster,2,The car accelerated || He accelerated the car,0
80879c17991a84f4,acceleration,noun,,NAWL,AVL | Kengdic | NAWL | WordNet | cc-kedict,avl | band_12 | dictionary | nawl | open_source | wordnet,"가속, 촉진, 가속도","가속, 촉진, 가속도",the act of accelerating; increasing the speed || an increase in rate of change || (physics) a rate of increase of velocity,3,modern science caused an acceleration of cultural change,0
50f8438e2eea35c7,accent,noun,,NAWL,AVL | Kengdic | NAWL | WordNet | cc-kedict,avl | band_16 | dictionary | nawl | open_source | wordnet,"강세, 사트리, 악센트","강세, 사트리, 악센트",a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation || the relative prominence of a syllable or musical note (especially with regard to stress or pitch) || distinctive manner of oral expression || the usage or vocabulary that is characteristic of a specific group of people || special importance or significance || put stress on; utter with an accent,6,he put the stress on the wrong syllable || he couldn't suppress his contemptuous accent || she had a very clear speech pattern,0
51c817ab85e3c10c,accepted,adjective,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_10 | dictionary | open_source | wordnet,"용인되다, 표준어","용인되다, 표준어",generally approved or compelling recognition,1,several accepted techniques for treating the condition || his recognized superiority in this kind of work,0
d9117118c6b6e0c9,accession,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_19 | dictionary | open_source | wordnet,"도달, 취임, 수납도서, 도서수납번호","도달, 취임, 수납도서, 도서수납번호",the act of attaining or gaining access to a new office or right or position (especially the throne) || the right to enter || agreeing with or consenting to (often unwillingly) || something added to what you already have || (civil law) the right to all of that which your property produces whether by growth or improvement || a process of increasing by addition (as to a collection or group),6,Elizabeth's accession in 1558 || accession to such demands would set a dangerous precedent || assenting to the Congressional determination,0
4f57da69dfb172b6,accessory,noun,,AVL,AVL | Kengdic | WordNet | cc-kedict,avl | band_15 | band_38 | dictionary | open_source | wordnet,"보조사, 부속물, 종범자, 악세사리, 액세서리","보조사, 부속물, 종범자, 악세사리, 액세서리","a supplementary component that improves capability || clothing that is worn or carried, but not part of your main clothing || someone who helps another person commit a crime || furnishing added support || aiding and abetting in a crime",5,an ancillary pump || an adjuvant discipline to forms of mysticism || The mind and emotions are auxiliary to each other,0
